x1;y1;x2;y2;dominant_hsv_color;dist_A;dist_B;FrameID;TrackID;session_id;min_dist;threshold;team_assignment;team_box_color;total_team_A;total_team_B;center_x;center_y;avg_x;avg_y
1701;578;1756;683;[     173.71      205.14         176];124.86;179.06;629;727;1;124.86;117.62;X;(0, 0, 255);4;5;1728;630;1728.0;630.0
1060;422;1108;524;[     95.628      35.074      246.52];146.66;23.01;629;728;1;23.01;117.62;B;(0, 255, 0);4;5;1084;473;1086.4;587.8
505;629;568;748;[     108.44      209.38      102.68];95.96;205.85;629;730;1;95.96;117.62;A;(255, 0, 0);4;5;536;688;1068.25;583.5
1344;379;1401;455;[     101.56      218.13      86.858];108.76;222.72;629;731;1;108.76;117.62;A;(255, 0, 0);4;5;1372;417;1068.25;583.5
1630;583;1685;697;[     109.04      204.35      145.76];90.98;177.61;629;756;1;90.98;117.62;A;(255, 0, 0);4;5;1657;640;1068.25;583.5
1193;592;1260;707;[     96.085      34.481      238.49];140.37;18.95;629;765;1;18.95;117.62;B;(0, 255, 0);4;5;1226;649;1086.4;587.8
1510;536;1580;656;[     100.67      37.806      239.67];139.28;14.84;629;801;1;14.84;117.62;B;(0, 255, 0);4;5;1545;596;1086.4;587.8
690;559;727;620;[     110.05      207.51      144.14];93.76;181.18;629;917;1;93.76;117.62;A;(255, 0, 0);4;5;708;589;1068.25;583.5
695;602;750;703;[     77.723      59.137      128.12];62.4;107.72;630;723;1;62.4;115.65;A;(255, 0, 0);5;4;722;652;998.8;597.8
827;512;888;624;[     97.518      38.175      236.42];136.49;14.66;630;725;1;14.66;115.65;B;(0, 255, 0);5;4;857;568;1179.75;572.0
1701;577;1756;683;[     173.77       204.9      177.87];125.5;178.3;630;727;1;125.5;115.65;X;(0, 0, 255);5;4;1728;630;1728.0;630.0
1066;422;1115;525;[      94.13      34.672      247.71];147.95;24.74;630;728;1;24.74;115.65;B;(0, 255, 0);5;4;1090;473;1179.75;572.0
503;629;568;751;[     111.83       213.5      111.77];98.63;203.67;630;730;1;98.63;115.65;A;(255, 0, 0);5;4;535;690;998.8;597.8
1344;381;1401;457;[     101.36       212.8      87.318];103.61;218.39;630;731;1;103.61;115.65;A;(255, 0, 0);5;4;1372;419;998.8;597.8
1634;585;1689;697;[     109.45      210.28      151.43];98.16;180.24;630;756;1;98.16;115.65;A;(255, 0, 0);5;4;1661;641;998.8;597.8
1195;592;1262;709;[     96.573      35.734      236.72];138.18;17.12;630;765;1;17.12;115.65;B;(0, 255, 0);5;4;1228;650;1179.75;572.0
1510;537;1579;657;[     99.557      38.153      242.37];141.36;16.67;630;801;1;16.67;115.65;B;(0, 255, 0);5;4;1544;597;1179.75;572.0
687;559;721;616;[     97.862      58.234      111.29];59.57;120.84;630;917;1;59.57;115.65;A;(255, 0, 0);5;4;704;587;998.8;597.8
692;600;751;705;[     104.58      44.506      231.69];128.92;4.64;631;723;1;4.64;110.75;B;(0, 255, 0);5;5;721;652;1087.8;588.0
826;512;890;623;[     96.067      36.891      236.97];137.74;16.64;631;725;1;16.64;110.75;B;(0, 255, 0);5;5;858;567;1087.8;588.0
1704;578;1760;684;[     173.79      202.58      176.55];123.33;176.68;631;727;1;123.33;110.75;X;(0, 0, 255);5;5;1732;631;1732.0;631.0
1069;421;1118;524;[       94.2      33.254      247.74];148.76;25.56;631;728;1;25.56;110.75;B;(0, 255, 0);5;5;1093;472;1087.8;588.0
500;631;566;753;[     113.04      212.65      114.66];97.57;201.33;631;730;1;97.57;110.75;A;(255, 0, 0);5;5;533;692;858.0;566.8
1342;382;1397;457;[     96.707      73.605      162.18];57.14;74.21;631;731;1;57.14;110.75;A;(255, 0, 0);5;5;1369;419;858.0;566.8
1640;586;1693;698;[     109.13      209.23      149.34];96.58;180.24;631;756;1;96.58;110.75;A;(255, 0, 0);5;5;1666;642;858.0;566.8
